time_stamp;elapsed_time
1618149197522;223
1618149197524;222
1618149197548;255
1618149197670;181
1618149197670;193
1618149197549;317
1618149197523;367
1618149197653;329
1618149197692;304
1618149197693;303
1618149197548;472
1618149197690;330
1618149197733;344
1618149197735;343
1618149197687;404
1618149197714;493
1618149197704;503
1618149197686;552
1618149197549;691
1618149197694;584
1618149197686;601
1618149197708;618
1618149197712;676
1618149197688;729
1618149197689;734
1618149197736;727
1618149197717;763
1618149197713;768
1618149197710;773
1618149197719;766
1618149197687;806
1618149197698;804
1618149197716;810
1618149197702;848
1618149197704;849
1618149197735;820
1618149197738;840
1618149197716;863
1618149197693;886
1618149197692;900
1618149197695;908
1618149197734;870
1618149197685;924
1618149197698;925
1618149197712;913
1618149197736;910
1618149197736;944
1618149197736;964
1618149197689;1023
1618149197711;1014
1618149197657;1070
1618149197549;1189
1618149197705;1041
1618149197658;1101
1618149197739;1020
1618149197739;1042
1618149197669;1145
1618149197741;1098
1618149197740;1110
1618149197741;1121
1618149197713;1176
1618149197742;1180
1618149197743;1180
1618149197738;1214
1618149197743;1221
1618149197745;1219
1618149197743;1221
1618149197741;1247
1618149197745;1243
1618149197692;1332
1618149197738;1321
1618149197746;1323
1618149197746;1335
1618149197687;1427
1618149197747;1379
1618149197687;1472
1618149197722;1448
1618149197715;1470
1618149197718;1503
1618149197825;1413
1618149197549;1692
1618149197670;1594
1618149197715;1550
1618149197689;1588
1618149197734;1543
1618149197714;1566
1618149197707;1585
1618149197702;1600
1618149197713;1600
1618149197700;1624
1618149197700;1645
1618149197706;1662
1618149197694;1675
1618149197690;1682
1618149197695;1691
1618149197693;1695
1618149197691;1739
1618149197706;1736
1618149197720;1734
1618149197749;1708
1618149197746;1712
1618149197737;1721
1618149197720;1739
1618149197701;1759
1618149197721;1740
1618149197702;1760
1618149197757;1706
1618149197707;1757
1618149197711;1754
1618149197744;1734
1618149197703;1775
1618149197745;1733
1618149197711;1767
1618149197695;1783
1618149197701;1777
1618149197716;1762
1618149197704;1774
1618149197703;1784
1618149197703;1812
1618149197703;1812
1618149197712;1803
1618149197696;1819
1618149197739;1776
1618149197746;1769
1618149197707;1808
1618149197715;1801
1618149197688;1828
1618149197740;1776
1618149197743;1776
1618149197742;1777
1618149197740;1780
1618149197714;1807
1618149197744;1780
1618149197688;1848
1618149197696;1878
1618149197717;1903
1618149197697;1936
1618149197709;1925
1618149197697;1949
1618149197705;1986
1618149197737;1965
1618149197697;2005
1618149197696;2020
1618149197709;2008
1618149197735;2006
1618149197700;2041
1618149197686;2056
1618149197714;2028
1618149197733;2010
1618149197569;2175
1618149197574;2170
1618149197566;2196
1618149197572;2190
1618149197576;2186
1618149197737;2025
1618149197737;2025
1618149197707;2056
1618149197717;2046
1618149197570;2193
1618149197695;2068
1618149197718;2045
1618149197691;2072
1618149197690;2073
1618149197565;2197
1618149197567;2196
