simultaneous users;total_time;total_invocations;success;failed;response time average (ms);standard_deviation;percent;throughput;fail_tax;hi_value;low_value
1;9;0;0;0;0.0;0.0;NaN;0.0;NaN;0;0
2;7;0;0;0;0.0;0.0;NaN;0.0;NaN;0;0
3;49;0;0;0;0.0;0.0;NaN;0.0;NaN;0;0
1;4;0;0;0;0.0;0.0;NaN;0.0;NaN;0;0
2;10;0;0;0;0.0;0.0;NaN;0.0;NaN;0;0
3;44;0;0;0;0.0;0.0;NaN;0.0;NaN;0;0
1;28;0;0;0;0.0;0.0;NaN;0.0;NaN;0;0
2;49;0;0;0;0.0;0.0;NaN;0.0;NaN;0;0
3;32;0;0;0;0.0;0.0;NaN;0.0;NaN;0;0
1;915;1;1;0;889.0;NaN;NaN;1.092896174863388;0.0;889;889
2;1479;2;2;0;1438.0;35.35533905932738;2.458646666156285;1.352265043948614;0.0;1463;1413
3;1948;3;3;0;1866.3333333333333;55.13921774320908;2.954414238785984;1.540041067761807;0.0;1930;1834
1;729;1;1;0;716.0;NaN;NaN;1.3717421124828533;0.0;716;716
2;1745;2;2;0;1627.0;128.69343417595164;7.909860736075699;1.146131805157593;0.0;1718;1536
3;3367;3;3;0;3199.0;102.59142264341595;3.2069841401505457;0.891000891000891;0.0;3299;3094
1;764;1;1;0;728.0;NaN;NaN;1.3089005235602094;0.0;728;728
2;705;2;2;0;673.5;21.920310216782973;3.2546860010071224;2.8368794326241136;0.0;689;658
3;938;3;3;0;897.0;33.80828300875393;3.769039354376135;3.1982942430703623;0.0;918;858
1;578;1;1;0;562.0;NaN;NaN;1.7301038062283738;0.0;562;562
2;648;2;2;0;633.5;2.1213203435596424;0.3348571970891306;3.0864197530864197;0.0;635;632
3;785;3;3;0;766.6666666666666;8.386497083608397;1.0938909239489214;3.821656050955414;0.0;772;757
1;643;1;1;0;625.0;NaN;NaN;1.5552099533437014;0.0;625;625
2;776;2;2;0;758.5;7.7781745930520225;1.0254679753529363;2.577319587628866;0.0;764;753
3;985;3;3;0;953.3333333333334;13.613718571105242;1.4280124375285217;3.045685279187817;0.0;964;938
