time;response time (ms)
10;942.2402538531278
20;888.351868732908
30;866.4331046312178
40;860.1326164874552
50;914.684907325684
60;905.7469244288225
70;871.297703180212
80;886.1711711711712
90;903.8386243386243
100;885.1492403932082
110;869.4685314685315
120;1326.6198282591724
130;2664.869603524229
140;2705.9444444444443
150;2576.955882352941
160;2439.2058570198105
170;2538.9719298245614
180;2575.3255208333335
190;2706.857613168724
200;2524.91042047532
210;2660.6083916083917
220;2540.7447325769854
230;3802.6673651126243
240;1546.6491435321914
250;1856.614275909403
260;1844.9625629949603
270;1893.2803347280335
280;1645.6860254083485
290;1674.68
300;1642.5003278688525
310;1620.969465648855
320;1755.4562913907284
330;1735.2439184746877
340;1746.521915037087
350;1719.1794380587485
360;1780.5340699815838
370;1557.6625647668393
380;1563.2642436149313
390;1331.5774117647059
400;1362.0008960573477
410;1550.273786407767
420;1393.5731300619343
430;1345.5593851886354
440;1372.738950276243
450;1462.417420276059
460;1534.0364683301343
470;1403.8523786169692
480;1478.9380487804879
490;1494.8648782911077
500;1345.5533180778032
510;1342.5689320388349
520;1375.768493150685
530;1523.2830548926015
540;1350.7865993575035
550;1375.4054182509506
560;1312.992144177449
570;1400.7006960556844
580;1407.7111829944547
590;1500.0272904483431
600;1353.7842951750235
610;1357.0859411489957
620;1545.3525011687705
630;1368.6857991093518
640;1466.4422018348623
650;1528.3107231920199
660;1246.0668706293707
670;1452.1203007518798
680;1366.2066473988439
690;1341.4293603313392
700;1528.0857142857142
710;1284.0129689671144
720;1408.5893719806763
730;1318.2139013452916
740;1336.2778535698044
750;1389.231638418079
760;1415.703228659885
770;1274.4428706326723
780;1447.4652777777778
790;1593.5565175565175
800;1271.8047520661157
810;1388.4269932756965
820;1341.907848324515
830;1394.0496980956805
840;1170.655153804641
850;550.327859879584
860;919.3311320754717
870;862.140545144804
880;868.5173025732032
890;904.2975986277874
900;875.2366697848456
910;883.4699915469146
920;847.0528634361234
930;909.7942271880819
940;870.6603284356094
950;897.3060498220641
960;858.5311958405546
970;883.7048736462094
980;884.868006993007
990;890.1028667790894
1000;845.9965546942291
1010;868.6113657195234
1020;896.8809946714032
1030;905.8301225919439
1040;870.2488605287147
1050;851.7195858498706
1060;851.9894829097283
1070;915.2580919931856
1080;855.6043956043956
1090;861.7225583405359
1100;850.1861943687557
1110;889.0018099547511
1120;913.9596912521441
1130;845.8233183856502
1140;920.6093609360936
1150;856.6119133574007
1160;854.8056288478452
1170;915.6870567375887
1180;837.2646551724138
1190;930.7074707470747
