simultaneous users;total_time;total_invocations;success;failed;response time average (ms);standard_deviation;percent;throughput;fail_tax;hi_value;low_value
1;124007;1000;1000;0;113.319;4.961033244279957;4.3779359545000895;8.064060899787915;0.0;151;109
2;121622;2000;2000;0;110.8455;3.206520019478745;2.8927832158082603;16.444393284109783;0.0;150;107
3;126545;3000;3000;0;115.74266666666666;6.574053971289644;5.679888117855972;23.70698170611245;0.0;150;107
4;130723;4000;4000;0;119.88425;6.193055822661896;5.165862757336261;30.59905295931091;0.0;168;107
5;134123;5000;5000;0;123.233;10.016904645434964;8.128427162720184;37.2792138559382;0.0;173;107
6;135966;6000;6000;0;124.95266666666667;10.519673797779623;8.418927005249685;44.12867922863069;0.0;210;107
7;140183;7000;7000;0;129.18928571428572;14.543214920312424;11.257291841117626;49.93472817674041;0.0;196;107
8;143067;8000;8000;0;132.0455;14.228878640758058;10.775739151094173;55.917856668553895;0.0;227;107
9;151858;9000;9000;0;139.5427777777778;17.65544060036874;12.65234996861326;59.26589313700958;0.0;228;107
10;155987;10000;10000;0;144.5799;21.241811067885557;14.69209140958429;64.10790642809978;0.0;242;106
