simultaneous users;total_time;total_invocations;success;failed;response time average (ms);standard_deviation;percent;throughput;fail_tax;hi_value;low_value
1;118466;1000;1000;0;107.671;3.661169644138711;3.400330306339414;8.441240524707512;0.0;137;104
2;116998;2000;2000;0;106.183;2.4794323528574314;2.335055849672199;17.094309304432553;0.0;129;103
3;121259;3000;3000;0;110.50533333333334;5.575033502596574;5.0450356869019055;24.740431638063978;0.0;146;103
4;127335;4000;4000;0;116.1495;8.305232927106454;7.1504680838974375;31.413201397887462;0.0;170;103
5;132377;5000;5000;0;121.175;11.186947955582532;9.232059381541188;37.77091186535425;0.0;177;103
6;136678;6000;6000;0;125.46783333333333;13.765181146921229;10.971083807872056;43.89879863621066;0.0;188;103
7;141730;7000;7000;0;130.2647142857143;16.784006789255706;12.884538135509773;49.38968461158541;0.0;263;103
8;145781;8000;8000;0;134.309;20.004219307405215;14.894176345148288;54.87683580164768;0.0;246;103
9;150430;9000;9000;0;138.44233333333332;22.43848766127951;16.2078225070459;59.82849165724922;0.0;291;103
10;154110;10000;10000;0;142.1843;25.564473155900817;17.979814336674877;64.88871585231328;0.0;292;103
