simultaneous users;total_time;total_invocations;success;failed;response time average (ms);standard_deviation;percent;throughput;fail_tax;hi_value;low_value
20;201022;20000;20000;0;188.56395;56.17196520401653;29.789344784099253;99.49159793455442;0.0;543;103
30;248686;30000;30000;0;235.2913;85.7713269979805;36.45325050181647;120.63405258036238;0.0;732;103
40;305857;40000;40000;0;290.5728;112.64919616311032;38.76797696243776;130.78007042506792;0.0;1171;103
50;371770;50000;50000;0;357.03602;139.179970914804;38.98205310343869;134.4917556553783;0.0;1389;103
60;440843;60000;60000;0;426.19916666666666;168.81691923059492;39.6098660987359;136.10287562692386;0.0;1756;104
70;516397;70000;70000;0;500.0563142857143;250.87729110418783;50.169807667071176;135.55462173482806;0.0;3666;104
80;584446;80000;80000;0;564.0264125;325.4061895227749;57.69343107186048;136.8817649534773;0.0;4049;103
90;647706;90000;90000;0;626.5005666666667;398.98934776188264;63.68539295738056;138.95193189502643;0.0;7356;104
100;712939;100000;100000;0;689.8501;452.96205012801965;65.6609385325913;140.26445460270796;0.0;8476;104
20;278154;20000;20000;0;265.0054;76.77991683130057;28.972963128789285;71.90261509811111;0.0;608;104
30;406610;30000;30000;0;393.31306666666666;128.04600286052346;32.55574597246794;73.7807727306264;0.0;985;105
40;532936;40000;40000;0;518.903425;183.13616210245345;35.292918350356516;75.05591665791015;0.0;1284;106
50;679190;50000;50000;0;662.86156;263.08147496852723;39.6887511426258;73.61710272530514;0.0;1918;109
60;826942;60000;60000;0;810.5395666666667;263.7505641835622;32.540122040955126;72.55647917266265;0.0;2425;108
70;942834;70000;70000;0;925.9352;289.06785388039816;31.219015529423462;74.24424660120445;0.0;4115;105
80;1059058;80000;80000;0;1038.8763;385.49048319604213;37.1064854589562;75.53882790177686;0.0;9106;106
90;1155578;90000;90000;0;1134.896088888889;543.601038286067;47.89874981578933;77.8831026551215;0.0;8106;106
100;1263340;100000;100000;0;1239.21557;620.6066934268873;50.08060812429005;79.15525511738724;0.0;9125;106
