time;response time (ms)
10;1017.9438528557599
20;885.2941176470588
30;881.6464826357969
40;922.4250440917108
50;895.1564245810056
60;904.122869955157
70;890.5412926391382
80;885.4360770577933
90;929.4159733777038
100;1767.7660510114335
110;1753.224347826087
120;1613.541095890411
130;1770.8317094774136
140;1692.0864909390446
150;1663.3730031948883
160;1627.7278911564626
170;1664.853164556962
180;1763.2463768115942
190;1649.6976744186047
200;1851.2890625
210;1706.7280373831775
220;1631.4351924587588
230;1662.5370705244122
240;1784.1887620719929
250;1823.2123493975903
260;988.2908133411352
270;1026.0487394957984
280;1051.9614457831326
290;970.5663212435234
