time;response time (ms)
10;965.8133928571428
20;883.5483271375465
30;900.0636200716846
40;897.6590909090909
50;919.0743119266056
60;880.2423714036618
70;896.96628216504
80;850.2071167883212
90;1044.5020048115477
100;1514.2828525641025
110;1002.6061899679829
120;1070.4323232323231
130;1026.0080213903743
140;998.6934097421204
150;1036.8153129849975
160;940.1172555043523
170;971.9735
180;1045.2893018583627
190;998.1570545829043
200;1016.6081992734821
210;1062.8021706956092
220;1015.5450798557445
230;993.3532311062431
240;975.5860788863109
250;1231.2196926579397
260;965.3664
270;987.0680340170085
280;1045.932092555332
290;1024.9633679606343
