simultaneous users;total_time;total_invocations;success;failed;response time average (ms);standard_deviation;percent;throughput;fail_tax;hi_value;low_value
1;131515;1000;1000;0;110.603;5.900695654684282;5.335023150081176;7.603695395962438;0.0;160;105
2;127799;2000;2000;0;106.9645;2.7127327936242667;2.536105711356821;15.649574722806907;0.0;133;104
3;131947;3000;3000;0;110.99333333333334;7.016102725495636;6.321192917438558;22.736401737061094;0.0;154;104
4;137813;4000;4000;0;116.44125;7.954330033325883;6.831196018014134;29.024838005122884;0.0;171;104
5;144650;5000;5000;0;123.4754;11.434769155043092;9.260767047560156;34.566194262011756;0.0;214;104
6;154076;6000;6000;0;132.91266666666667;15.468535337467118;11.638119770977774;38.941820919546196;0.0;230;105
7;162140;7000;7000;0;140.63214285714287;19.568731264444867;13.91483544720157;43.17256691747872;0.0;267;104
8;171709;8000;8000;0;150.142375;24.44483172542069;16.281101005242984;46.59045245153137;0.0;302;104
9;180853;9000;9000;0;159.14866666666666;29.874142569553836;18.771217626425084;49.764173112970205;0.0;343;104
10;190958;10000;10000;0;169.004;35.086608428417506;20.760815382131494;52.36753631688644;0.0;369;104
