simultaneous users;total_time;total_invocations;success;failed;response time average (ms);standard_deviation;percent;throughput;fail_tax;hi_value;low_value
1;131438;1000;1000;0;110.576;5.630801890488547;5.092245957973292;7.608149850119448;0.0;148;106
2;128127;2000;2000;0;107.3535;3.0469952149486703;2.838282137935578;15.609512436879035;0.0;132;104
3;131978;3000;3000;0;111.30033333333333;7.517377881435328;6.7541377966241445;22.731061237478972;0.0;168;104
4;137416;4000;4000;0;116.38975;7.697542333562958;6.613591260023291;29.10869185538802;0.0;175;104
5;144894;5000;5000;0;123.984;11.488696271918997;9.266273286810392;34.50798514776319;0.0;213;104
6;155248;6000;6000;0;133.98533333333333;16.908452546487155;12.619629421991826;38.64784087395651;0.0;245;104
7;163450;7000;7000;0;142.39957142857142;20.66106856062643;14.50922102738923;42.82655246252676;0.0;270;104
8;172560;8000;8000;0;150.593375;24.35630174695499;16.173554611519258;46.36068613815485;0.0;321;104
9;180586;9000;9000;0;159.07766666666666;28.52265425705185;17.930017993549388;49.837750434695934;0.0;336;104
10;189028;10000;10000;0;167.1305;33.66766432219631;20.144536348659464;52.90221554478702;0.0;404;104
