time;response time (ms)
10;979.4074074074074
20;908.5362865221489
30;911.9208633093525
40;894.9457295373666
50;878.8668407310705
60;898.0411198600175
70;898.2938475665749
80;877.1539792387543
90;1079.5998329156223
100;1615.2699822380107
110;1667.4818401937046
120;1688.2460732984293
130;1684.8004926108374
140;1690.6695278969958
150;1745.2356902356903
160;1648.856786011657
170;1692.9194915254238
180;1740.8422330097087
190;1611.6263250883392
200;1588.5343827671913
210;1668.588996763754
220;1688.0539452495975
230;1653.1221640488657
240;1786.719160104987
250;1718.8661551577152
260;1764.9811320754718
270;1651.3017515923566
280;1634.9687242798354
290;1714.75
