simultaneous users;total_time;total_invocations;success;failed;response time average (ms);standard_deviation;percent;throughput;fail_tax;hi_value;low_value
1;129010;1000;1000;0;108.286;3.184076371939318;2.9404321629197847;7.751337105650725;0.0;141;106
2;128449;2000;2000;0;107.55;2.6873985665560967;2.4987434370582022;15.570382019322844;0.0;138;104
3;127497;3000;3000;0;106.70233333333333;2.5284762775866385;2.369654157128684;23.529965410950847;0.0;125;104
4;127185;4000;4000;0;106.38175;2.5262843200273934;2.374734689011408;31.45024963635649;0.0;131;103
5;129203;5000;5000;0;108.466;5.181950841421052;4.777488652131591;38.69879182371926;0.0;145;103
6;133607;6000;6000;0;112.48466666666667;8.663617870227405;7.702043422416748;44.90782668572754;0.0;172;103
7;137918;7000;7000;0;116.72757142857142;10.813724185662343;9.2640702220722;50.75479632825302;0.0;203;103
8;143710;8000;8000;0;122.276125;13.422877921326576;10.977513330036077;55.667664045647484;0.0;238;104
9;149631;9000;9000;0;128.11877777777778;16.260307582707355;12.691588122164951;60.14796399141889;0.0;236;103
10;156477;10000;10000;0;135.0718;20.552525036806053;15.215999962098717;63.90715568422196;0.0;275;103
