simultaneous users;total_time;total_invocations;success;failed;response time average (ms);standard_deviation;percent;throughput;fail_tax;hi_value;low_value
1;129179;1000;1000;0;108.38;3.086604465610512;2.847946545128725;7.7411963244799855;0.0;136;105
2;128008;2000;2000;0;107.208;2.3228072922345486;2.1666361579682007;15.624023498531342;0.0;129;104
3;127219;3000;3000;0;106.301;2.1762301484950313;2.047233938057997;23.581383283943435;0.0;127;103
4;127236;4000;4000;0;106.386;2.389650938506005;2.246208089885892;31.43764343424817;0.0;127;103
5;129387;5000;5000;0;108.5392;5.36598752555618;4.9438244666960705;38.643758646540995;0.0;153;103
6;133239;6000;6000;0;112.39833333333333;8.857543295656427;7.8804934494785766;45.03186004097899;0.0;184;103
7;138039;7000;7000;0;116.74742857142857;10.96376928114422;9.391015644028812;50.710306507581194;0.0;192;103
8;144289;8000;8000;0;122.508375;13.287080122120399;10.845854515758942;55.44428196189592;0.0;223;103
9;149663;9000;9000;0;128.28433333333334;16.553970403018482;12.904124746086284;60.135103532603246;0.0;262;103
10;156332;10000;10000;0;134.9993;20.718060317325325;15.346790922119835;63.96643041731699;0.0;271;103
