time;response time (ms)
10;738.5622317596567
20;704.6983199415632
30;691.644974692697
40;673.9423611111112
50;741.3535127055306
60;744.7
70;1249.1492537313434
80;1198.5138632162661
90;1314.051939513478
100;1236.327168367347
110;1250.4171817058098
120;1307.0700141442717
130;1298.2372561359346
140;1336.782460910945
150;1251.1440677966102
160;1317.2920237310482
170;1211.4580567290284
180;1229.9243277048156
190;1277.7319587628865
200;1266.4677524429967
210;1291.0812903225806
220;1290.179419525066
230;1197.9093789607098
240;1282.673597983617
250;1249.5186640471513
260;1326.0661478599222
270;1286.6653225806451
280;1209.8492492492492
290;1279.623910336239
300;1191.2381615598886
310;671.3377926421405
320;671.9020979020979
330;681.3368055555555
340;631.2950290510006
350;672.7017301038062
360;665.7484364141765
370;635.9475409836066
380;673.12456506611
390;646.5190789473684
400;668.2156593406594
410;681.6694214876034
420;677.8714488636364
430;683.5618298784847
440;651.3212608987257
450;685.2809065934066
460;659.795281054823
470;669.4646048109965
480;667.4881033310674
490;657.1019581363943
500;656.9820565907522
510;630.3169502205419
520;638.9562542720438
530;673.6011118832523
540;812.7913436692506
550;1211.204143814747
560;1270.780104712042
570;1324.8495514147687
580;1258.6943396226416
590;1211.522896039604
600;1305.7633396107972
610;1241.876631853786
620;1400.1591530054645
630;1294.5003436426116
640;1237.0083440308088
650;1216.6457699330492
660;1364.982105987612
670;1201.8662012798138
680;1282.7041251778094
690;1300.8377059182428
700;1339.6052814454483
710;1202.5203836930455
720;1295.5285615966966
730;1261.958359621451
740;1239.282129742962
750;1304.906400550585
760;1244.7111681643132
770;1254.678927680798
780;1138.44351732991
790;654.3337883959044
800;625.395780051151
810;691.4691011235955
820;677.7505285412262
830;655.3463114754098
