simultaneous users;total_time;total_invocations;success;failed;response time average (ms);standard_deviation;percent;throughput;fail_tax;hi_value;low_value
1;129642;1000;1000;0;108.889;3.10714230979736;2.853495127880098;7.713549621264714;0.0;136;106
2;127634;2000;2000;0;106.9755;1.9265917127958827;1.8009653731890785;15.669805851105505;0.0;128;104
3;126442;3000;3000;0;105.63166666666666;1.5340952941977282;1.4523062473668518;23.726293478432797;0.0;125;103
4;126226;4000;4000;0;105.47425;1.7574439080017907;1.6662302960218165;31.689192400931663;0.0;127;103
5;126156;5000;5000;0;105.2682;1.5356889099312356;1.4588345862579921;39.633469672469005;0.0;126;102
6;126119;6000;6000;0;105.4035;1.7233250974687764;1.6349790068344756;47.57411650901133;0.0;120;103
7;126250;7000;7000;0;105.51371428571429;1.873277974908533;1.7753881451239555;55.445544554455445;0.0;132;103
8;126404;8000;8000;0;105.6235;2.142911981152991;2.028821219854475;63.28913641973355;0.0;126;103
9;127885;9000;9000;0;106.90444444444445;4.27096220410924;3.9951212751764977;70.37572819329867;0.0;154;103
10;129806;10000;10000;0;108.335;6.012935268157633;5.550316396508638;77.03804138483584;0.0;156;103
