simultaneous users;total_time;total_invocations;success;failed;response time average (ms);standard_deviation;percent;throughput;fail_tax;hi_value;low_value
1;129850;1000;1000;0;109.141;3.1731984161393165;2.907430219751804;7.701193685021178;0.0;145;106
2;127910;2000;2000;0;107.1815;1.9032521993858094;1.7757282734294717;15.635994058322257;0.0;124;104
3;126659;3000;3000;0;105.88033333333334;1.5716774304982897;1.4843903310639586;23.685644131092143;0.0;122;104
4;126360;4000;4000;0;105.61425;1.7336950026143845;1.6415351172918282;31.655587211142766;0.0;133;103
5;126251;5000;5000;0;105.5116;1.7257059576332916;1.6355604100717756;39.603646703788485;0.0;125;103
6;126324;6000;6000;0;105.61983333333333;1.728333830174918;1.6363724270614433;47.49691270067446;0.0;124;103
7;126327;7000;7000;0;105.54914285714285;1.789664683549923;1.6955748148255196;55.4117488739541;0.0;125;103
8;126403;8000;8000;0;105.637625;1.9970748353185517;1.8904957729961762;63.289637113043206;0.0;127;103
9;127952;9000;9000;0;106.86788888888888;4.212279182274303;3.9415761142749175;70.33887707890459;0.0;146;103
10;129516;10000;10000;0;108.4108;5.944693204676683;5.483487996285133;77.21053769418451;0.0;167;103
