simultaneous users;total_time;total_invocations;success;mw_failed;vm_fails;response time average (ms);standard_deviation;percent;throughput;fail_tax;hi_value;low_value
20;160410;20000;20000;0;0;158.107;29.58691129986387;18.713220350689006;124.68050620285518;0.0;297;102
40;250648;40000;40000;0;0;244.993525;108.16592013999313;44.150521994405004;159.58635217516198;0.0;994;101
60;289633;60000;60000;0;0;284.0341666666667;128.77275827218568;45.33706623517206;207.1587146492285;0.0;1209;103
80;365953;80000;80000;0;0;358.2466625;172.34258243302082;48.10724019878924;218.60730749577132;0.0;2830;102
100;449121;100000;100000;0;0;439.76031;251.8228228061245;57.263654104237936;222.65714584711026;0.0;2809;102
20;161029;20000;20000;0;0;158.3902;30.033515354720418;18.96172576000309;124.20123083419757;0.0;742;102
40;252277;40000;40000;0;0;246.764475;106.87023712972655;43.30859907193957;158.55587310773475;0.0;737;102
60;289130;60000;60000;0;0;284.35468333333336;128.43754871453433;45.16807924839911;207.5191090512918;0.0;2920;102
80;365233;80000;80000;0;0;357.9645125;174.1350514423765;48.64589794843881;219.0382577696977;0.0;2143;102
100;452591;100000;100000;0;0;444.12999;264.8108860690091;59.62463513644036;220.9500409862326;0.0;3449;102
